brand,name,seller,reviews_rating_number,reviews_amount,page,old-money,new-money
ACER,Notebook Acer Aspire 5 A515-45-r0xr Ryzen7 8gb 256gb Ssd 15.,Por Grand Commerce ,,,2,4.499,2.949
,"Apple MacBook Air (13 polegadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Ouro",,4.9,(1091),2,6.090,609
LENOVO,Notebook Lenovo Thinkpad T490 I7 16gb Ssd 256gb 14,,4.4,(5),2,2.449,244
HP,Notebook Hp 256r G9 Intel Core I5-1335u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl- Ay6z4la#ak4,Por HP ,4.8,(62),2,3.803,3.134
ACER,Notebook Acer Aspire 5 A514-54-57hc I5 8gb Ssd 512gb 14 Fhd Ips Windows 11 Pro,Por Concordia Informatica ,4.8,(461),2,4.462,428
LENOVO,"Notebook Lenovo Ideapad 1i Intel I5-1235u 8gb 512gb 15,6 W11",Por 2Eletro ,5.0,(7),2,3.999,3.199
DELL,Dell Latitude 5450 -i5- 13ª geração// 32 gb// 512 gb Touch Grey,,,,2,7.800,780
, Rhodia QUADRICULADO A5 Capa Laranja 80 folhas  quadriculadas unidade x 1,,,,2,50,4
,Notebook Positivo Vision C14 Lumina Bar Celeron 8gb 256gb Emmc Tela 14 Polegadas Hd Antirreflexo Linux Tecla Link - Cinza,Por Positivo ,4.5,(242),2,2.099,1.437
ACER,Notebook Acer Aspire 3 A315-510p-34xc Intel Core I3 8gb,Por Carrefour ,,,2,3.299,2.699
ACER,"Notebook Acer TravelMate TMP214-55-54ZZ Intel® Core™ i5 – 1335U de 13ªGen 16GB 512GB SSD W11 Pro 14""",Por Acer Brasil ,,,2,7.999,799
ASUS,"Notebook Gamer ASUS TUF Gaming A15 AMD Ryzen 7 7435HS 3,1 GHz RTX3050 16GB RAM 512GB SSD Windows 11 Home Tela 15,6 144Hz IPS FHD Graphite Black - FA506NCR-HN088W",Por Mercado Livre ,5.0,(11),2,6.499,649
